weather,temperature,weekend,occasion,product_name,previous_sales,predicted_sales
Rainy,19,No,New Year,Pista Badam Kulfa,9,9
Rainy,19,No,New Year,Pasta Salad,23,23
Rainy,19,No,New Year,Gourmet Seafood Platter,6,11
Rainy,19,No,New Year,Afghani Lamb Tikka,33,36
Rainy,19,No,New Year,French Fries Large,39,39
Rainy,19,No,New Year,Chicken Jalfrezi,4,7
Rainy,19,No,New Year,Lamb Shank (Nalli Nihari),20,18
Rainy,19,No,New Year,Blueberry Frozen Yogurt,10,7
Rainy,19,No,New Year,Fruit Chaat Special,21,22
Rainy,19,No,New Year,Pina Colada,40,32
Rainy,19,No,New Year,Garlic Butter Lobster,19,20
Rainy,19,No,New Year,Greek Feta Salad,11,18
Rainy,19,No,New Year,Hot Chocolate with Marshmallows,43,47
Rainy,19,No,New Year,Aloo Keema,14,16
Rainy,19,No,New Year,Mutton Chops,52,49
Rainy,19,No,New Year,Grilled Prawns,44,43
Rainy,19,No,New Year,Smoked Brisket Platter,43,44
Rainy,19,No,New Year,Chicken Tikka Platter,26,30
Rainy,19,No,New Year,Fresh Strawberry Lemonade,27,33
Rainy,19,No,New Year,Old Fashioned Milkshake,34,35
Rainy,19,No,New Year,Grilled Salmon,51,47
Rainy,19,No,New Year,Malai Boti Platter,32,33
Rainy,19,No,New Year,Russian Salad,14,11
Rainy,19,No,New Year,Mexican Bean Salad,13,13
Rainy,19,No,New Year,Classic Cheeseburger,32,30
Rainy,19,No,New Year,Vanilla Bean Classic,18,20
Rainy,19,No,New Year,Chicken Club Sandwich,29,38
Rainy,19,No,New Year,Mango Lassi,42,41
Rainy,19,No,New Year,Coffee Mocha Scoop,16,14
Rainy,19,No,New Year,Jalapeno Poppers,33,35
Rainy,19,No,New Year,Cold Coffee with Ice Cream,41,39
Rainy,19,No,New Year,Mixed BBQ Platter,41,38
Rainy,19,No,New Year,Desi Ghee Daal Makhni,5,8
Rainy,19,No,New Year,Peach Iced Tea,33,40
Rainy,19,No,New Year,Caramel Crunch Sundae,9,9
Rainy,19,No,New Year,Grilled Chicken Salad,14,17
Rainy,19,No,New Year,Chicken Haleem,26,21
Rainy,19,No,New Year,Lahori Chana Masala,9,16
Rainy,19,No,New Year,Classic Mint Margarita,37,41
Rainy,19,No,New Year,BBQ Ribs Stack,47,40
Rainy,19,No,New Year,Tandoori Whole Chicken,19,17
Rainy,19,No,New Year,Royal Mutton Karahi,9,9
Rainy,19,No,New Year,Kulfa Falooda,19,13
Rainy,19,No,New Year,Strawberry Cheesecake Ice Cream,20,18
Rainy,19,No,New Year,Mutton Kunna,15,23
Rainy,19,No,New Year,Chicken Wings (10pcs),51,49
Rainy,19,No,New Year,Belgium Chocolate Scoop,22,21
Rainy,19,No,New Year,Loaded Nachos,31,32
Rainy,19,No,New Year,Fresh Orange Juice,51,51
Rainy,19,No,New Year,Paneer Reshmi Handi,25,20
Rainy,19,No,New Year,Fresh Garden Salad,10,14
Rainy,19,No,New Year,Sarson Ka Saag & Makki Roti,12,12
Rainy,19,No,New Year,Classic Caesar Salad,17,14
Rainy,19,No,New Year,BBQ Pizza Medium,35,37
Rainy,19,No,New Year,Beef Seekh Kabab (4pcs),32,32
Rainy,19,No,New Year,Chicken Nuggets (12pcs),32,32
Rainy,19,No,New Year,Iced Caramel Macchiato,45,44
Rainy,19,No,New Year,Beef Paya,16,19
Rainy,19,No,New Year,Desi Chicken Karahi,14,16
Rainy,19,No,New Year,Apple & Walnut Salad,9,13
Rainy,19,No,New Year,Chicken Crunchy Pasta,37,41
Rainy,19,No,New Year,Chef's Signature Steak,22,17
Rainy,19,No,New Year,Crispy Chicken Burger,44,43
Rainy,19,No,New Year,Chocolate chip IceCreame,22,17
Rainy,19,No,New Year,Special Chicken Biryani,9,11
Rainy,19,No,New Year,Cheese Stuffed Kabab,10,16
Rainy,19,No,New Year,Tutti Frutti Special,23,19
Rainy,19,No,New Year,Quinoa Health Bowl,20,20
Rainy,19,No,New Year,Palak Paneer,16,19
Rainy,19,No,New Year,Legendry Tower Burger,49,44
Rainy,19,No,New Year,Zinger Stack,34,28
Rainy,19,No,New Year,White Chicken Handi,6,11
Rainy,19,No,New Year,Mango Sorbet,13,14
Rainy,19,No,New Year,Hot Chilly Fries,37,36
Rainy,19,No,New Year,dfgh,52,46
Hot,38,No,None,Pista Badam Kulfa,33,36
Hot,38,No,None,Pasta Salad,23,22
Hot,38,No,None,Gourmet Seafood Platter,13,10
Hot,38,No,None,Afghani Lamb Tikka,19,19
Hot,38,No,None,French Fries Large,19,15
Hot,38,No,None,Chicken Jalfrezi,11,11
Hot,38,No,None,Lamb Shank (Nalli Nihari),10,9
Hot,38,No,None,Blueberry Frozen Yogurt,38,35
Hot,38,No,None,Fruit Chaat Special,24,30
Hot,38,No,None,Pina Colada,25,36
Hot,38,No,None,Garlic Butter Lobster,11,10
Hot,38,No,None,Greek Feta Salad,20,17
Hot,38,No,None,Hot Chocolate with Marshmallows,44,42
Hot,38,No,None,Aloo Keema,13,15
Hot,38,No,None,Mutton Chops,6,2
Hot,38,No,None,Grilled Prawns,5,9
Hot,38,No,None,Smoked Brisket Platter,5,8
Hot,38,No,None,Chicken Tikka Platter,13,15
Hot,38,No,None,Fresh Strawberry Lemonade,26,28
Hot,38,No,None,Old Fashioned Milkshake,45,51
Hot,38,No,None,Grilled Salmon,5,5
Hot,38,No,None,Malai Boti Platter,4,9
Hot,38,No,None,Russian Salad,16,21
Hot,38,No,None,Mexican Bean Salad,16,14
Hot,38,No,None,Classic Cheeseburger,16,15
Hot,38,No,None,Vanilla Bean Classic,44,45
Hot,38,No,None,Chicken Club Sandwich,10,14
Hot,38,No,None,Mango Lassi,25,24
Hot,38,No,None,Coffee Mocha Scoop,33,34
Hot,38,No,None,Jalapeno Poppers,16,13
Hot,38,No,None,Cold Coffee with Ice Cream,34,34
Hot,38,No,None,Mixed BBQ Platter,18,14
Hot,38,No,None,Desi Ghee Daal Makhni,1,1
Hot,38,No,None,Peach Iced Tea,51,49
Hot,38,No,None,Caramel Crunch Sundae,39,42
Hot,38,No,None,Grilled Chicken Salad,22,21
Hot,38,No,None,Chicken Haleem,8,9
Hot,38,No,None,Lahori Chana Masala,23,18
Hot,38,No,None,Classic Mint Margarita,40,38
Hot,38,No,None,BBQ Ribs Stack,3,7
Hot,38,No,None,Tandoori Whole Chicken,1,1
Hot,38,No,None,Royal Mutton Karahi,15,14
Hot,38,No,None,Kulfa Falooda,29,31
Hot,38,No,None,Strawberry Cheesecake Ice Cream,39,39
Hot,38,No,None,Mutton Kunna,12,9
Hot,38,No,None,Chicken Wings (10pcs),12,13
Hot,38,No,None,Belgium Chocolate Scoop,46,43
Hot,38,No,None,Loaded Nachos,18,22
Hot,38,No,None,Fresh Orange Juice,32,30
Hot,38,No,None,Paneer Reshmi Handi,16,11
Hot,38,No,None,Fresh Garden Salad,17,20
Hot,38,No,None,Sarson Ka Saag & Makki Roti,17,15
Hot,38,No,None,Classic Caesar Salad,10,13
Hot,38,No,None,BBQ Pizza Medium,17,12
Hot,38,No,None,Beef Seekh Kabab (4pcs),12,10
Hot,38,No,None,Chicken Nuggets (12pcs),21,21
Hot,38,No,None,Iced Caramel Macchiato,35,34
Hot,38,No,None,Beef Paya,1,3
Hot,38,No,None,Desi Chicken Karahi,1,3
Hot,38,No,None,Apple & Walnut Salad,13,17
Hot,38,No,None,Chicken Crunchy Pasta,11,14
Hot,38,No,None,Chef's Signature Steak,12,9
Hot,38,No,None,Crispy Chicken Burger,22,19
Hot,38,No,None,Chocolate chip IceCreame,42,43
Hot,38,No,None,Special Chicken Biryani,1,6
Hot,38,No,None,Cheese Stuffed Kabab,3,7
Hot,38,No,None,Tutti Frutti Special,26,36
Hot,38,No,None,Quinoa Health Bowl,15,22
Hot,38,No,None,Palak Paneer,6,8
Hot,38,No,None,Legendry Tower Burger,17,17
Hot,38,No,None,Zinger Stack,10,13
Hot,38,No,None,White Chicken Handi,10,6
Hot,38,No,None,Mango Sorbet,40,41
Hot,38,No,None,Hot Chilly Fries,22,18
Hot,38,No,None,dfgh,12,17
Cold,13,No,None,Pista Badam Kulfa,5,6
Cold,13,No,None,Pasta Salad,23,18
Cold,13,No,None,Gourmet Seafood Platter,37,34
Cold,13,No,None,Afghani Lamb Tikka,27,30
Cold,13,No,None,French Fries Large,17,16
Cold,13,No,None,Chicken Jalfrezi,49,39
Cold,13,No,None,Lamb Shank (Nalli Nihari),32,27
Cold,13,No,None,Blueberry Frozen Yogurt,1,1
Cold,13,No,None,Fruit Chaat Special,20,22
Cold,13,No,None,Pina Colada,7,11
Cold,13,No,None,Garlic Butter Lobster,17,22
Cold,13,No,None,Greek Feta Salad,13,10
Cold,13,No,None,Hot Chocolate with Marshmallows,6,3
Cold,13,No,None,Aloo Keema,38,36
Cold,13,No,None,Mutton Chops,27,32
Cold,13,No,None,Grilled Prawns,48,42
Cold,13,No,None,Smoked Brisket Platter,19,20
Cold,13,No,None,Chicken Tikka Platter,27,34
Cold,13,No,None,Fresh Strawberry Lemonade,1,1
Cold,13,No,None,Old Fashioned Milkshake,12,8
Cold,13,No,None,Grilled Salmon,33,30
Cold,13,No,None,Malai Boti Platter,25,23
Cold,13,No,None,Russian Salad,16,15
Cold,13,No,None,Mexican Bean Salad,13,18
Cold,13,No,None,Classic Cheeseburger,13,15
Cold,13,No,None,Vanilla Bean Classic,4,8
Cold,13,No,None,Chicken Club Sandwich,21,22
Cold,13,No,None,Mango Lassi,4,6
Cold,13,No,None,Coffee Mocha Scoop,4,1
Cold,13,No,None,Jalapeno Poppers,2,6
Cold,13,No,None,Cold Coffee with Ice Cream,1,4
Cold,13,No,None,Mixed BBQ Platter,41,39
Cold,13,No,None,Desi Ghee Daal Makhni,39,41
Cold,13,No,None,Peach Iced Tea,1,4
Cold,13,No,None,Caramel Crunch Sundae,5,8
Cold,13,No,None,Grilled Chicken Salad,14,17
Cold,13,No,None,Chicken Haleem,40,42
Cold,13,No,None,Lahori Chana Masala,21,26
Cold,13,No,None,Classic Mint Margarita,4,3
Cold,13,No,None,BBQ Ribs Stack,33,34
Cold,13,No,None,Tandoori Whole Chicken,29,38
Cold,13,No,None,Royal Mutton Karahi,28,32
Cold,13,No,None,Kulfa Falooda,15,11
Cold,13,No,None,Strawberry Cheesecake Ice Cream,6,8
Cold,13,No,None,Mutton Kunna,35,34
Cold,13,No,None,Chicken Wings (10pcs),27,24
Cold,13,No,None,Belgium Chocolate Scoop,13,11
Cold,13,No,None,Loaded Nachos,13,14
Cold,13,No,None,Fresh Orange Juice,3,1
Cold,13,No,None,Paneer Reshmi Handi,27,29
Cold,13,No,None,Fresh Garden Salad,15,18
Cold,13,No,None,Sarson Ka Saag & Makki Roti,30,24
Cold,13,No,None,Classic Caesar Salad,17,17
Cold,13,No,None,BBQ Pizza Medium,15,15
Cold,13,No,None,Beef Seekh Kabab (4pcs),39,39
Cold,13,No,None,Chicken Nuggets (12pcs),2,7
Cold,13,No,None,Iced Caramel Macchiato,5,4
Cold,13,No,None,Beef Paya,28,28
Cold,13,No,None,Desi Chicken Karahi,30,29
Cold,13,No,None,Apple & Walnut Salad,13,17
Cold,13,No,None,Chicken Crunchy Pasta,19,20
Cold,13,No,None,Chef's Signature Steak,26,27
Cold,13,No,None,Crispy Chicken Burger,15,16
Cold,13,No,None,Chocolate chip IceCreame,4,7
Cold,13,No,None,Special Chicken Biryani,21,22
Cold,13,No,None,Cheese Stuffed Kabab,34,37
Cold,13,No,None,Tutti Frutti Special,9,11
Cold,13,No,None,Quinoa Health Bowl,19,16
Cold,13,No,None,Palak Paneer,37,39
Cold,13,No,None,Legendry Tower Burger,13,18
Cold,13,No,None,Zinger Stack,21,19
Cold,13,No,None,White Chicken Handi,42,40
Cold,13,No,None,Mango Sorbet,4,1
Cold,13,No,None,Hot Chilly Fries,22,23
Cold,13,No,None,dfgh,22,23
Mild,25,No,None,Pista Badam Kulfa,9,9
Mild,25,No,None,Pasta Salad,13,14
Mild,25,No,None,Gourmet Seafood Platter,14,18
Mild,25,No,None,Afghani Lamb Tikka,17,13
Mild,25,No,None,French Fries Large,12,10
Mild,25,No,None,Chicken Jalfrezi,16,14
Mild,25,No,None,Lamb Shank (Nalli Nihari),16,13
Mild,25,No,None,Blueberry Frozen Yogurt,15,13
Mild,25,No,None,Fruit Chaat Special,5,9
Mild,25,No,None,Pina Colada,16,17
Mild,25,No,None,Garlic Butter Lobster,13,10
Mild,25,No,None,Greek Feta Salad,17,20
Mild,25,No,None,Hot Chocolate with Marshmallows,17,13
Mild,25,No,None,Aloo Keema,21,18
Mild,25,No,None,Mutton Chops,12,11
Mild,25,No,None,Grilled Prawns,17,16
Mild,25,No,None,Smoked Brisket Platter,7,11
Mild,25,No,None,Chicken Tikka Platter,23,18
Mild,25,No,None,Fresh Strawberry Lemonade,9,8
Mild,25,No,None,Old Fashioned Milkshake,11,11
Mild,25,No,None,Grilled Salmon,20,23
Mild,25,No,None,Malai Boti Platter,13,10
Mild,25,No,None,Russian Salad,24,17
Mild,25,No,None,Mexican Bean Salad,18,20
Mild,25,No,None,Classic Cheeseburger,16,22
Mild,25,No,None,Vanilla Bean Classic,13,16
Mild,25,No,None,Chicken Club Sandwich,19,15
Mild,25,No,None,Mango Lassi,28,24
Mild,25,No,None,Coffee Mocha Scoop,15,18
Mild,25,No,None,Jalapeno Poppers,25,22
Mild,25,No,None,Cold Coffee with Ice Cream,22,16
Mild,25,No,None,Mixed BBQ Platter,10,12
Mild,25,No,None,Desi Ghee Daal Makhni,23,17
Mild,25,No,None,Peach Iced Tea,9,9
Mild,25,No,None,Caramel Crunch Sundae,14,17
Mild,25,No,None,Grilled Chicken Salad,15,20
Mild,25,No,None,Chicken Haleem,10,13
Mild,25,No,None,Lahori Chana Masala,20,20
Mild,25,No,None,Classic Mint Margarita,8,9
Mild,25,No,None,BBQ Ribs Stack,16,19
Mild,25,No,None,Tandoori Whole Chicken,7,12
Mild,25,No,None,Royal Mutton Karahi,10,13
Mild,25,No,None,Kulfa Falooda,20,14
Mild,25,No,None,Strawberry Cheesecake Ice Cream,15,13
Mild,25,No,None,Mutton Kunna,12,15
Mild,25,No,None,Chicken Wings (10pcs),16,15
Mild,25,No,None,Belgium Chocolate Scoop,13,10
Mild,25,No,None,Loaded Nachos,28,22
Mild,25,No,None,Fresh Orange Juice,14,17
Mild,25,No,None,Paneer Reshmi Handi,16,18
Mild,25,No,None,Fresh Garden Salad,22,17
Mild,25,No,None,Sarson Ka Saag & Makki Roti,3,8
Mild,25,No,None,Classic Caesar Salad,9,11
Mild,25,No,None,BBQ Pizza Medium,7,14
